Footprint pattern,Rotation,Offset X,Offset Y
"^SOT-23$",180
"^SOT-23-6$",-90
"^SOT-23-5$",180
"^TDFN-8-1EP_3x2mm_P0.5mm_EP1.60x1.50mm$",-90
"^USB_C_Receptacle_YIYUAN_YTC-TC6-555$",0,0.0,-0.75
"^MagneticBuzzer_PUI_AT-0927-TT-6-R$",0,-2.0,0.0
"^SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm$",-90,0.0,-3.81
"^PinHeader_1x04_P2.54mm_Vertical$",90,0.0,3.81
"^PinSocket_1x06_P2.54mm_Vertical$",90,0.0,6.35
"^DVR8833_EVM_IN",90
"^DVR8833_EVM_OUT",90
"^JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical$",180,0.0,1.25
"^JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical$",0,-2.5,0.0
"^JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical$",0,0.0,6.25
